date,headline,description,sentiment
2024-04-18 11:00:00,"venture capital continues web3 retreat, but q1 hints at a changing tide","Web3 startups raised just short of $1.9 billion across 346 deals, according to new data, a 58% increase from Q3 2024.",0.9511939
2024-05-08 16:21:56,ftx customers will get their money back and more—but the biggest winners are bankruptcy traders,The FTX estate has recovered up to $16.3 billion to repay customers. Hedge funds who bought customer claims are set to see 9-figure paydays.,0.29844868
2024-04-25 14:45:00,movement labs raises $38 million to build layer-2 blockchain on ethereum with facebook tech,"Polychain led the Series A funding round, which included participation from Hack VC, dao5, and Robot Ventures.",0.19167826
2024-05-16 15:34:40,"bitcoin hits 3-week high due to cooling inflation data, etfs filing first 13fs",The CPI has been in the “driver's seat” when it comes to Bitcoin prices.,0.12130732
2024-05-13 23:24:53,"chinese-backed crypto firm must sell wyoming land plot and get rid of equipment possibly capable of 'espionage activities,' says president biden","The government directed the sale of the property within 120 days, and that within 90 days the company remove all structures and equipment on the site.",0.023976771
2024-05-15 13:00:00,social media spurred the last banking crisis. can it prevent the next one?,A U.S. banking regulator is working with an intelligence firm to monitor social media platforms like Twitter and Discord for risk ahead of potential runs.,0.06709205
2024-04-29 12:00:00,tiger global-backed braintrust bet big on blockchain. now it’s launching an ai-powered hiring platform,"Braintrust Air will use AI to conduct autonomous interviews with job candidates, with Nestle and Guardian Life already signed up.",0.20615512
2024-04-29 10:30:00,why sam bankman-fried is turning against a-list ftx boosters—and what could happen to them,Some of the celebs who took money to tout SBF’s exchange may be in hotter water than others.,0.012386465
2024-04-24 13:16:42,old bitcoin wallets keep waking up: how many of the 1.8 million ‘lost’ coins are really gone?,A new survey by Chainalysis and Fortune takes a closer look at dormant wallets from the early Bitcoin era that hold over $1.2 billion.,0.04335099
2024-04-24 15:44:57,doj seeks 3-year sentence—double federal guidelines—for binance’s changpeng zhao,"Prosecutors said 36 months would be an appropriate term given the Binance founder's ""willful violation of U.S. law and its consequences.""",0.04188423
2024-05-01 12:00:00,"multicoin capital leads $5 million round for baxus, a web3 marketplace for wine and spirits","The global luxury wines and spirits market is forecast to almost double in size by 2032, and BAXUS wants to streamline the marketplace.",0.7474645
2024-04-20 16:39:33,a dot-com entrepreneur who once lost $6 billion in one day has made billions from the bitcoin rally and his company's surging shares,Saylor has billions of dollars worth of paper gains from his holdings of MicroStrategy stock and his personal Bitcoin stash.,0.08609658
2024-05-08 11:05:51,tiktok’s lawsuit against the u.s. reveals billionaire bytedance founder zhang yiming is living in singapore,Zhang Yiming joins a raft of corporate chieftains who’ve relocated to the island state after years of regulatory tightening and Covid restrictions hammered China’s once free-wheeling tech sector.,0.18227114
2024-05-02 22:06:58,"coinbase revenue soars by 72% to $1.6 billion, smashing analysts’ predictions",The increase was fueled by a boost in consumer and institutional transactions due to favorable conditions in the wider cryptocurrency market.,0.95395976
2024-04-24 22:18:13,"investors yank $2.2 billion from cathie wood’s once-mega popular ark funds, even as tech skyrockets",The firm’s cumulative ETF assets are down 81% from 2021 highs.,0.007056705
2024-04-30 08:49:04,binance founder cz faces possible 3-year jail term for allowing money laundering as judge decides sentence,Zhao pleaded guilty and stepped down as Binance CEO in November as the company agreed to pay $4.3 billion to settle related allegations.,0.010875702
2024-05-17 11:32:00,a deepfake ‘cfo’ tricked the british design firm behind the sydney opera house in $25 million fraud,"“Our financial stability and business operations were not affected,"" an Arup spokesperson said.",0.08835439
2024-05-12 19:24:34,here are horror stories about super-rich tenants who can afford to buy luxury property in manhattan but choose to rent instead,"""They’re very wealthy, and it’s very challenging to nail them down, as they also have the assets to fight.”",0.079423614
2024-04-26 15:45:11,"bitcoin etfs stall: blackrock ends 71-day streak, fidelity sees first outflows","The Bitcoin ETF frenzy has cooled a bit with the original cryptocurrency hovering near $63,500.",0.05979318
2024-04-24 17:28:53,the ai frenzy could fall flat as companies hoard chips without enough data centers to host them,"This “buy AI now, figure it out if it works later"" mode is the very mindset that could put sustainable AI innovation in jeopardy.",0.025488848
2024-04-29 11:46:35,rich americans' spending is driving the u.s. economy—and likely leading the fed to delay interest rate cuts,"It's the so-called “wealth effect,"" whereby rising home and stock values give people confidence to increase their spending.",0.53800154
2024-04-26 23:43:54,billionaire miami dolphins owner wants south florida to be more like manhattan—'i still love a challenge',"“I want to make West Palm a model city for the country,"" said Related Cos. founder, Stephen Ross.",0.7566948
2024-04-17 22:01:28,clover finance (clv) one day trading volume hits $8.55 million,"Clover Finance (CLV) One Day Trading Volume Hits $8.55 Million
Posted by Lindsey Winhoffer on Apr 17th, 2024
Share on Stocktwits
Clover Finance ( CLV ) traded 1.4% lower  against the U.S. dollar during the 1-day period ending at 17:00 PM Eastern on April 17th. Clover Finance has a market capitalization of $18.02 million and $8.55 million worth of Clover Finance was traded on exchanges in the last 24 hours. Over the last seven days, Clover Finance has traded 0.3% lower  against the U.S. dollar. One Clover Finance coin can now be bought for about $0.0731 or 0.00000119 BTC on exchanges.
Here’s how related cryptocurrencies have performed over the last 24 hours:
Get Clover Finance alerts:
KILT Protocol (KILT) traded 2.8% lower  against the dollar and now trades at $0.33 or 0.00000537 BTC.
Aidi Finance (BSC) (AIDI) traded 2.2% lower  against the dollar and now trades at $0.0000 or 0.00000000 BTC.
Zoo Token (ZOOT) traded 2.2% lower  against the dollar and now trades at $0.0652 or 0.00000239 BTC.
CareCoin (CARES) traded 2.2% lower  against the dollar and now trades at $0.0809 or 0.00000297 BTC.
Kitty Inu (KITTY) traded up 1.9% against the dollar and now trades at $95.84 or 0.00338062 BTC.
Hokkaidu Inu (HOKK) traded 1.2% higher  against the dollar and now trades at $0.0004 or 0.00000001 BTC.
Lego Coin (LEGO) traded flat against the dollar and now trades at $0.0086 or 0.00000013 BTC.
Jeff in Space (JEFF) traded down 2.2% against the dollar and now trades at $2.75 or 0.00010076 BTC.
Lumi Credits (LUMI) traded up 0.2% against the dollar and now trades at $0.0086 or 0.00000014 BTC.
AXIA Coin (AXC) traded down 0.1% against the dollar and now trades at $13.43 or 0.00048094 BTC.
Clover Finance Profile
Clover Finance’s genesis date was March 18th, 2021. Clover Finance’s total supply is 246,345,360 coins and its circulating supply is 77,632,071 coins. Clover Finance’s official Twitter account is @coingecko and its Facebook page is accessible here . The official website for Clover Finance is clv.org .
According to CryptoCompare, “## What is Clover Finance (CLV)?
Clover Finance (CLV) is a decentralized finance (DeFi) platform built on the Polkadot network. It aims to provide a scalable and interoperable infrastructure for DeFi applications, facilitating seamless cross-chain compatibility. Clover Finance offers a wide range of financial services, including decentralized exchanges, yield farming, and lending, enabling users to access these services across multiple blockchains.
## Who created Clover Finance (CLV)?
Clover Finance was created by a team of developers and blockchain enthusiasts. The project leverages the Polkadot ecosystem, which was developed by the Web3 Foundation, Parity Technologies, and a team of experienced blockchain engineers and researchers.
## What is CLV used for?
CLV serves as the native cryptocurrency of the Clover Finance network. It plays a vital role within the ecosystem, serving functions such as governance rights and staking rewards. CLV holders can participate in governance decisions and have a say in the future development and direction of the platform. Additionally, users can stake their CLV tokens to secure the network and earn rewards in return.
Overall, Clover Finance (CLV) aims to address the scalability and interoperability challenges faced by traditional blockchains, providing a robust infrastructure for DeFi applications. Through its use of Polkadot’s technology, Clover Finance offers users enhanced cross-chain capabilities, facilitating a more inclusive and seamless DeFi experience.”
Clover Finance Coin Trading
It is usually not possible to buy alternative cryptocurrencies such as Clover Finance directly using U.S. dollars. Investors seeking to trade Clover Finance should first buy Ethereum or Bitcoin using an exchange that deals in U.S. dollars such as Changelly, GDAX or Coinbase . Investors can then use their newly-acquired Ethereum or Bitcoin to buy Clover Finance using one of the exchanges listed above.",0.011072879
2024-04-17 22:16:02,global gateway: eu announces new eu circular economy resource centre and switch to circular economy ...,"During the World Circular Economy Forum 2024, European Commissioner for International Partnerships Jutta Urpilainen announced two initiatives aimed at... read full story ",0.12106846
2024-04-17 18:54:43,xido finance (xido) self reported market capitalization achieves $34.54 million,"XIDO FINANCE (XIDO) Self Reported Market Capitalization Achieves $34.54 Million
Posted by James Nelson on Apr 17th, 2024
Share on Stocktwits
XIDO FINANCE ( XIDO ) traded down 0.7% against the US dollar during the 1 day period ending at 18:00 PM E.T. on April 17th. During the last week, XIDO FINANCE has traded 10.8% lower  against the US dollar. XIDO FINANCE has a total market cap of $34.54 million and approximately $162.40 worth of XIDO FINANCE was traded on exchanges in the last 24 hours. One XIDO FINANCE token can now be bought for $1.22 or 0.00001984 BTC on cryptocurrency exchanges.
Here is how related cryptocurrencies have performed during the last 24 hours:
Get XIDO FINANCE alerts:
KILT Protocol (KILT) traded down 1.8% against the dollar and now trades at $0.33 or 0.00000533 BTC.
Aidi Finance (BSC) (AIDI) traded 2.2% lower  against the dollar and now trades at $0.0000 or 0.00000000 BTC.
Zoo Token (ZOOT) traded 2.2% lower  against the dollar and now trades at $0.0652 or 0.00000239 BTC.
CareCoin (CARES) traded down 2.2% against the dollar and now trades at $0.0809 or 0.00000297 BTC.
Kitty Inu (KITTY) traded 1.9% higher  against the dollar and now trades at $95.84 or 0.00338062 BTC.
Hokkaidu Inu (HOKK) traded 1.2% higher  against the dollar and now trades at $0.0004 or 0.00000001 BTC.
Lego Coin (LEGO) traded flat against the dollar and now trades at $0.0086 or 0.00000013 BTC.
Jeff in Space (JEFF) traded 2.2% lower  against the dollar and now trades at $2.75 or 0.00010076 BTC.
Lumi Credits (LUMI) traded 0.7% lower  against the dollar and now trades at $0.0086 or 0.00000014 BTC.
AXIA Coin (AXC) traded 0.1% lower  against the dollar and now trades at $13.43 or 0.00048094 BTC.
XIDO FINANCE Profile
XIDO FINANCE’s launch date was September 9th, 2020. XIDO FINANCE’s total supply is 100,000,000 tokens and its circulating supply is 28,314,463 tokens. XIDO FINANCE’s official Twitter account is @xidofinance and its Facebook page is accessible here . XIDO FINANCE’s official website is xido.finance . XIDO FINANCE’s official message board is medium.com/@xidofinance .
According to CryptoCompare, “XIDO is decentralized AMM with yield farming incentives, no mints, and a unique token distribution design. Token which adds a governance layer and powers the self-sustaining pools and farms without ever minting a new token.
It is layer protocol for payments specifically built to support the fast-growing DeFi industry using our important technological innovations.”
Buying and Selling XIDO FINANCE
It is usually not possible to purchase alternative cryptocurrencies such as XIDO FINANCE directly using US dollars. Investors seeking to trade XIDO FINANCE should first purchase Ethereum or Bitcoin using an exchange that deals in US dollars such as Gemini, GDAX or Changelly. Investors can then use their newly-acquired Ethereum or Bitcoin to purchase XIDO FINANCE using one of the exchanges listed above.",0.01164314
2024-04-17 23:26:32,meet the district 3 candidates: ‘tell us about your campaign finance’," Between now and the November election, Mission Local is asking each District 3 candidate one question per week, and candidates will get 100 words to respond. We will compile all responses to the 40-odd questions on a “Meet the candidates” page, so that voters can get a full picture of their stances. 
Because Supervisor Aaron Peskin terms out next January, six candidates have filed to run for the seat to lead District 3, which includes North Beach, Chinatown, Union Square, the Financial District, Russian Hill and Nob Hill.  
Question this week: Tell us about your campaign finance — where did you raise the money and how have you been spending it? 
Deputy City Attorney, San Francisco City Attorney’s Office 
My campaign has received generous contributions from Teamsters 350 and individual contributors. This grassroots support comes from individuals who resonate with my vision for the future of District 3 and want to help my team spread that vision to fellow San Franciscans. My campaign’s priority is to facilitate meaningful connections with District 3 residents and create opportunities for me to listen to their ideas for our community’s future while also creating platforms for me to articulate my priorities as their potential next Supervisor. 
Endorsed by: UFCW 648, Teamsters Joint Council 7, Retired Assistant Police Chief Garrett Tom, Board President Aaron Peskin … More. 
Economic recovery leader at the World Economic Forum, former board member at the San Francisco Municipal Transportation Agency 
We are proud to run a grassroots campaign focused on people and will not accept donations from corporate PACs. Over 20% of the funds raised are from every corner of District 3, over 70% of donors are San Franciscans, and we are applying for public finance. We are careful stewards of donations and are powered by volunteers. We have only spent approximately 15% of the funds raised, primarily on bilingual campaign literature and accounting fees. We will be using these funds to power a grassroots campaign focusing resources on bilingual field operations. 
Endorsed by: Community Tenants Association, Teamsters Joint Council 7, 7 of the current Board of Supervisors … More. 
Tech startup founder 
We host small community gatherings, 30-40 people, where we cook authentic Paella together. This Valencian staple is celebrated for how each ingredient supports the others to create a delicious, cohesive dish and for its ability to unite people—a perfect metaphor for our campaign. Here, we discuss issues important to our neighbors and district. All are welcome to come by obtaining tickets at Navarro.vote; once a quorum is reached, we provide dates, usually on a weekend, to celebrate the paella. The response has been great; it has aided in recruiting volunteers, raising funds, and fostering community as a grassroots campaign. 
Self-described formerly homeless, leatherman, boxer 
Ortega declined to respond. 
Executive Director, Neighborhood Centers Together 
I am proud that we were the first candidate to qualify for public financing, a testament to our diverse coalition of everyday supporters. We have received donations from more than 500 individuals, 85% of whom are San Francisco residents. 
Based on the latest filing data, our campaign has: 
We will put these funds to work to go out and talk to District 3 voters and share our message of safer neighborhoods, economic recovery, and more housing. 
Endorsed by: Senator Scott Wiener, State Treasurer Fiona Ma, Supervisor Matt Dorsey, Sheriff Paul Miyamoto … More. 
Former lead with Divvy Homes 
Our funds have come from a wide array of supporters, united by their belief in our vision for San Francisco. 
Professional colleagues, from my decade in the private sector, family and friends who trust my deep love for the city will guide us to better days, and new friends and neighbors made at house parties and during neighborhood canvassing, have generously supported our campaign. 
Money spent 
Money raised 
Sharon Lai 
$9,493 
$86,241 
Danny Sauter 
$7,904 
$74,566 
Moe Jamil 
$16,015 
$71,672 
JConr B. Ortega 
$0 
Matthew Susk 
$0 
Eduard Navarro 
$0 
$0 
$50,000 
$100,000 
$150,000 
$200,000 
Money raised 
Money spent 
Sharon Lai 
$9,493 
$86,241 
Danny Sauter 
$7,904 
$74,566 
Moe Jamil 
$16,015 
$71,672 
JConr B. Ortega 
$0 
Matthew Susk 
$0 
Eduard Navarro 
$0 
$0 
$50K 
$100K 
$150K 
$200K 
Source: San Francisco Ethics Commission, as of April 3, 2024. Chart by Junyao Yang. 
Answers may be lightly edited for formatting, spelling, and grammar. If you have questions for the candidates, please let us know at yujie@missionlocal.com. 
Illustrations for the series by Neil Ballard. 
You can register to vote via the sf.gov website. 
About 3/4 of our total budget comes from individual donors, keeping us independent and giving us the freedom to carry out the hard-hitting reporting you’ve gotten used to. Help keep us that way — make a tax-deductible donation today. 
Your contribution is appreciated.",0.095591456
2024-04-17 23:51:08,french finance minister says europe must defend industrial interests ...,"French Minister for Economy, Finance, Industry and Digital Security Bruno Le Maire arrives for a visit at the Renault Sandouville car factory, near Le Havre, France, March 29, 2024.",0.052997317
2024-04-17 23:48:43,"the economy is doing well, but it's not strong in my view, says first horizon ceo bryan jordan","The economy is doing well, but it’s not strong in my view, says First Horizon CEO Bryan Jordan
First Horizon CEO Bryan Jordan joins ’Mad Money’ host Jim Cramer to talk quarterly earnings.
Share",0.07953158
2024-04-17 23:48:48,harvest finance tops 24 hour volume of $19.16 million (farm),"Harvest Finance Tops 24 Hour Volume of $19.16 Million (FARM)
Posted by Shelly Janes on Apr 17th, 2024
Share on Stocktwits
Harvest Finance ( FARM ) traded 4.6% lower  against the U.S. dollar during the 1-day period ending at 19:00 PM Eastern on April 17th. Harvest Finance has a market capitalization of $49.38 million and approximately $19.16 million worth of Harvest Finance was traded on exchanges in the last day. One Harvest Finance token can currently be purchased for approximately $72.08 or 0.00117639 BTC on major exchanges. During the last seven days, Harvest Finance has traded down 29.8% against the U.S. dollar.
Here’s how related cryptocurrencies have performed during the last day:
Get Harvest Finance alerts:
KILT Protocol (KILT) traded down 1.5% against the dollar and now trades at $0.33 or 0.00000535 BTC.
Aidi Finance (BSC) (AIDI) traded 2.2% lower  against the dollar and now trades at $0.0000 or 0.00000000 BTC.
Zoo Token (ZOOT) traded 2.2% lower  against the dollar and now trades at $0.0652 or 0.00000239 BTC.
CareCoin (CARES) traded 2.2% lower  against the dollar and now trades at $0.0809 or 0.00000297 BTC.
Kitty Inu (KITTY) traded up 1.9% against the dollar and now trades at $95.84 or 0.00338062 BTC.
Hokkaidu Inu (HOKK) traded up 1.2% against the dollar and now trades at $0.0004 or 0.00000001 BTC.
Lego Coin (LEGO) traded flat against the dollar and now trades at $0.0086 or 0.00000013 BTC.
Jeff in Space (JEFF) traded down 2.2% against the dollar and now trades at $2.75 or 0.00010076 BTC.
Lumi Credits (LUMI) traded 1% lower  against the dollar and now trades at $0.0086 or 0.00000014 BTC.
AXIA Coin (AXC) traded down 0.1% against the dollar and now trades at $13.43 or 0.00048094 BTC.
Harvest Finance Profile
Harvest Finance launched on July 1st, 2020. Harvest Finance’s total supply is 705,211 tokens and its circulating supply is 684,990 tokens. The official website for Harvest Finance is harvest.finance . The official message board for Harvest Finance is medium.com/harvest-finance . Harvest Finance’s official Twitter account is @harvest_finance and its Facebook page is accessible here .
According to CryptoCompare, “Harvest Finance (FARM) is a decentralized platform that allows users to earn returns on their cryptocurrency investments without actively managing them. It uses strategized vaults to provide optimal yield rates on investments. FARM is the native ERC-20 token of Harvest Finance, which is used for governance, staking, voting on proposals, and incentivizing users. The amount of FARM staked by holders determines their influence on decisions about the project and platform.”
Harvest Finance Token Trading
It is usually not possible to purchase alternative cryptocurrencies such as Harvest Finance directly using U.S. dollars. Investors seeking to trade Harvest Finance should first purchase Bitcoin or Ethereum using an exchange that deals in U.S. dollars such as Coinbase , Changelly or GDAX. Investors can then use their newly-acquired Bitcoin or Ethereum to purchase Harvest Finance using one of the aforementioned exchanges.",0.010449062
2024-04-17 23:58:43,blackrock future climate and sustainable economy etf (nysearca:beco)  shares down 0.8%," BlackRock Future Climate and Sustainable Economy ETF (NYSEARCA:BECO – Get Free Report)’s stock price was down 0.8% on Monday . The company traded as low as $20.30 and last traded at $20.30. Approximately 16 shares traded hands during trading, a decline of 99% from the average daily volume of 1,072 shares. The stock had previously closed at $20.47. 
BLACKROCK FUTURE CLIMATE AND SUSTAINABLE ECONOMY ETF STOCK DOWN 0.3 % 
The stock has a market cap of $3.02 million, a P/E ratio of 16.71 and a beta of 0.86. The business’s 50-day simple moving average is $20.71 and its two-hundred day simple moving average is $20.08. 
Get BlackRock Future Climate and Sustainable Economy ETF alerts: 
INSTITUTIONAL INVESTORS WEIGH IN ON BLACKROCK FUTURE CLIMATE AND SUSTAINABLE ECONOMY ETF 
Institutional investors and hedge funds have recently modified their holdings of the company. UBS Group AG lifted its holdings in shares of BlackRock Future Climate and Sustainable Economy ETF by 758.6% in the second quarter. UBS Group AG now owns 1,889 shares of the company’s stock worth $36,000 after buying an additional 1,669 shares in the last quarter. Annis Gardner Whiting Capital Advisors LLC purchased a new stake in shares of BlackRock Future Climate and Sustainable Economy ETF in the third quarter worth about $173,000. Jane Street Group LLC purchased a new stake in shares of BlackRock Future Climate and Sustainable Economy ETF in the second quarter worth about $212,000. Flow Traders U.S. LLC lifted its holdings in shares of BlackRock Future Climate and Sustainable Economy ETF by 27.4% in the fourth quarter. Flow Traders U.S. LLC now owns 17,024 shares of the company’s stock worth $342,000 after buying an additional 3,658 shares in the last quarter. Finally, Susquehanna International Group LLP purchased a new stake in shares of BlackRock Future Climate and Sustainable Economy ETF in the fourth quarter worth about $345,000. 
BLACKROCK FUTURE CLIMATE AND SUSTAINABLE ECONOMY ETF COMPANY PROFILE 
(Get Free Report) 
The BlackRock Future Climate and Sustainable Economy ETF (BECO) is an exchange-traded fund that mostly invests in stocks based on a particular theme. The fund is an actively managed portfolio of globally-listed companies that are selected for lower carbon footprint. BECO was launched on Aug 3, 2021 and is managed by BlackRock. 
READ MORE 
 Five stocks we like better than BlackRock Future Climate and Sustainable Economy ETF 
 * Best Aerospace Stocks Investing 
 * United Airlines Soars on Earnings Beat 
 * What Are Trending Stocks? Trending Stocks Explained 
 * J.B. Hunt Hits the Skids: Lower Prices to Come 
 * Using the MarketBeat Dividend Tax Calculator 
 * Predicting a Bear Market: 7 Signs and Why it’s Tough to Do 
Receive News & Ratings for BlackRock Future Climate and Sustainable Economy ETF Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts’ ratings for BlackRock Future Climate and Sustainable Economy ETF and related companies with MarketBeat.com’s FREE daily email newsletter.",0.04728343
2024-04-17 20:20:41,lument finance trust (nyse:lft) stock price passes above 200-day moving average of $2.24," Lument Finance Trust, Inc. (NYSE:LFT – Get Free Report) shares crossed above its 200-day moving average during trading on Monday . The stock has a 200-day moving average of $2.24 and traded as high as $2.54. Lument Finance Trust shares last traded at $2.45, with a volume of 105,672 shares. 
LUMENT FINANCE TRUST STOCK PERFORMANCE 
The company has a debt-to-equity ratio of 6.50, a quick ratio of 4.05 and a current ratio of 4.05. The stock has a market capitalization of $119.65 million, a PE ratio of 7.93 and a beta of 1.07. The firm’s 50 day moving average is $2.33 and its two-hundred day moving average is $2.24. 
Get Lument Finance Trust alerts: 
LUMENT FINANCE TRUST DIVIDEND ANNOUNCEMENT 
The company also recently declared a quarterly dividend, which was paid on Monday, April 15th. Shareholders of record on Thursday, March 28th were issued a dividend of $0.07 per share. This represents a $0.28 annualized dividend and a yield of 12.23%. The ex-dividend date was Wednesday, March 27th. Lument Finance Trust’s dividend payout ratio (DPR) is presently 93.33%. 
INSTITUTIONAL INFLOWS AND OUTFLOWS 
Several institutional investors and hedge funds have recently added to or reduced their stakes in the company. Johnson Investment Counsel Inc. boosted its holdings in shares of Lument Finance Trust by 10.1% in the 3rd quarter. Johnson Investment Counsel Inc. now owns 81,613 shares of the technology company’s stock valued at $170,000 after buying an additional 7,500 shares in the last quarter. Citadel Advisors LLC boosted its holdings in shares of Lument Finance Trust by 27.8% in the 4th quarter. Citadel Advisors LLC now owns 38,817 shares of the technology company’s stock valued at $90,000 after buying an additional 8,453 shares in the last quarter. Arlington Trust Co LLC acquired a new position in shares of Lument Finance Trust in the 4th quarter valued at $26,000. Vanguard Group Inc. boosted its holdings in shares of Lument Finance Trust by 1.6% in the 3rd quarter. Vanguard Group Inc. now owns 1,389,516 shares of the technology company’s stock valued at $2,890,000 after buying an additional 22,444 shares in the last quarter. Finally, Cerity Partners LLC acquired a new position in shares of Lument Finance Trust in the 2nd quarter valued at $45,000. Institutional investors and hedge funds own 19.45% of the company’s stock. 
ABOUT LUMENT FINANCE TRUST 
(Get Free Report) 
Lument Finance Trust, Inc, a real estate investment trust, focuses on investing in, financing, and managing a portfolio of commercial real estate (CRE) debt investments in the United States. The company primarily invests in transitional floating rate CRE mortgage loans on middle market multi-family assets; and other CRE -related investments, including mezzanine loans, preferred equity, commercial mortgage-backed securities, fixed rate loans, construction loans, and other CRE debt instruments. 
FEATURED ARTICLES 
 Five stocks we like better than Lument Finance Trust 
 * Upcoming IPO Stock Lockup Period, Explained 
 * United Airlines Soars on Earnings Beat 
 * About the Markup Calculator 
 * J.B. Hunt Hits the Skids: Lower Prices to Come 
 * How to Start Investing in Real Estate 
 * Predicting a Bear Market: 7 Signs and Why it’s Tough to Do 
Receive News & Ratings for Lument Finance Trust Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts’ ratings for Lument Finance Trust and related companies with MarketBeat.com’s FREE daily email newsletter.",0.6106975
2024-04-18 00:22:34,biden touts us economy in battleground pennsylvania amid persistent inflation,"Fox News White House correspondent Peter Doocy has the latest on President Biden’s visit to a Scranton, Pa., war memorial on ’Special Report.’ ",0.038222805
